product_name,product_url,product_type,price,Concern List,Skin Type,ingredients,Concern List_
The Ordinary Natural Moisturising Factors + HA 30ml,https://www.lookfantastic.com/the-ordinary-natural-moisturising-factors-ha-30ml/11396687.html,Moisturiser,£5.20,['Redness'],Dry,"['capric triglyceride', 'cetyl alcohol', 'propanediol', 'stearyl alcohol', 'glycerin', 'sodium hyaluronate', 'arganine', 'aspartic acid', 'glycine', 'alanine', 'serine', 'valine', 'isoleucine', 'proline', 'threonine', 'histidine', 'phenylalanine', 'glucose', 'maltose', 'fructose', 'trehalose', 'sodium pca', 'pca', 'sodium lactate', 'urea', 'allantoin', 'linoleic acid', 'oleic acid', 'phytosteryl canola glycerides', 'palmitic acid', 'stearic acid', 'lecithin', 'triolein', 'tocopherol', 'carbomer', 'isoceteth-20', 'polysorbate 60', 'sodium chloride', 'citric acid', 'trisodium ethylenediamine disuccinate', 'pentylene glycol', 'triethanolamine', 'sodium hydroxide', 'phenoxyethanol', 'chlorphenesin']",'Redness'
CeraVe Facial Moisturising Lotion SPF 25 52ml,https://www.lookfantastic.com/cerave-facial-moisturising-lotion-spf-25-52ml/11798689.html,Moisturiser,£13.00,"['Acne-prone', 'Enlarged pores']",Dry,"['homosalate', 'glycerin', 'octocrylene', 'ethylhexyl', 'salicylate', 'niacinamide', 'silica', 'butyl methoxydibenzoylmethane', 'dimethicon', 'cetearyl alcohol', 'peg-100 stearate', 'glyceryl stearate', 'phenoxyethanol', 'stearic acid', 'behentrimonium methosulfate', 'caprylyl glycol', 'palmitic acid', 'ammonium polyacryloyldmethyl taurate', 'xanthan gum', 'disodium edta', 'tocopherol', 'sodium lauroyl', 'myristic acid', 'sodium hyaluronate', 'ceramide np', 'ceramide ap', 'phytosphingosine', 'cholesterol', 'cerbomer', 'ethylhexyl glycerin', 'ceramide eop']","'Acne-prone', 'Enlarged pores'"
The Ordinary Hyaluronic Acid 2% + B5 Hydration Support Formula 30ml,https://www.lookfantastic.com/the-ordinary-hyaluronic-acid-2-b5-hydration-support-formula-30ml/11363395.html,Moisturiser,£6.20,['Redness'],Dry,"['sodium hyaluronate', 'sodium hyaluronate', 'panthenol', 'ahnfeltia concinna extract', 'glycerin', 'pentylene glycol', 'propanediol', 'polyacrylate crosspolymer-6', 'ppg-26 buteth-26', 'castor oil', 'trisodium ethylenediamine disuccinate', 'citric acid', 'ethoxydiglycol', 'caprylyl glycol', 'hexylene glycol', 'ethylhexyl glycerin', 'phenoxyethanol', 'chlorphenesin']",'Redness'
AMELIORATE Transforming Body Lotion 200ml,https://www.lookfantastic.com/ameliorate-transforming-body-lotion-200ml/11865352.html,Moisturiser,£22.50,['Redness'],Dry,"['ammonium lactate', 'c12-15', 'glycerin', 'prunus amygdalus dulcis', 'ethylhexyl palmitate', 'cetearyl alcohol', 'glyceryl stearate', 'peg-100 stearate', 'dimethicon', 'hydroxyethyl cellulose', 'phenoxyethanol', 'cetearyl glucoside', 'xanthan gum', 'sodium benzoate', 'sodium stearoyl glutamate', 'tocopheryl acetate', 'parfum', 'potassium sorbate', 'pentylene glycol', 'hydrolyzed lactis proteinum', 'disodium edta', 'lactic acid', 'serine', 'sodium lactate', 'sorbitol', 'urea', 'linalool', 'citronellol', 'sodium chloride', 'citrus aurantium dulcis', 'limonene', 'coumarin', 'juniperus mexicana oil', 'alpha-isomethyl ionone', 'allantoin', 'pelargonium graveolens extract', 'geraniol']",'Redness'
CeraVe Facial Moisturising Lotion No SPF 52ml,https://www.lookfantastic.com/cerave-facial-moisturising-lotion-no-spf-52ml/11798688.html,Moisturiser,£13.00,"['Acne-prone', 'Enlarged pores']",Dry,"['glycerin', 'capric triglyceride', 'niacinamide', 'cetearyl alcohol', 'ceramide 3', 'ceramide 6 ii', 'ceramide 1', 'phytosphingosine', 'sodium hyaluronate', 'sodium hydroxide', 'dimethicon', 'behentrimonium methosulfate', 'ceteareth 20', 'polyglyceryl-3 diisostearate', 'cholesterol', 'xanthan gum', 'carbomer', 'disodium edta', 'dipotassium phosphate', 'potassium phosphate', 'sodium lauroyl']","'Acne-prone', 'Enlarged pores'"
The Ordinary Natural Moisturizing Factors + HA 100ml,https://www.lookfantastic.com/the-ordinary-natural-moisturizing-factors-ha-100ml/11638505.html#,Moisturiser,£6.80,['Redness'],Dry,"['capric triglyceride', 'cetyl alcohol', 'propanediol', 'stearyl alcohol', 'glycerin', 'sodium hyaluronate', 'arganine', 'aspartic acid', 'glycine', 'alanine', 'serine', 'valine', 'isoleucine', 'proline', 'threonine', 'histidine', 'phenylalanine', 'glucose', 'maltose', 'fructose', 'trehalose', 'sodium pca', 'pca', 'sodium lactate', 'urea', 'allantoin', 'linoleic acid', 'oleic acid', 'phytosteryl canola glycerides', 'palmitic acid', 'stearic acid', 'lecithin', 'triolein', 'tocopherol', 'carbomer', 'isoceteth-20', 'polysorbate 60', 'sodium chloride', 'citric acid', 'trisodium ethylenediamine disuccinate', 'pentylene glycol', 'triethanolamine', 'sodium hydroxide', 'phenoxyethanol', 'chlorphenesin']",'Redness'
CeraVe Smoothing Cream 177ml,https://www.lookfantastic.com/cerave-smoothing-cream-177ml/12207665.html,Moisturiser,£12.00,"['Acne-prone', 'Enlarged pores']",Dry,"['glycerin', 'behentrimonium methosulfate', 'cetearyl alcohol', 'paraffinum liquidum', 'glyceryl stearate se', 'ammonium lactate', 'salicylic acid', 'triethanolamine', 'cetyl alcohol', 'niacinamide', 'peg-100 stearate', 'vitamin d3', 'ceramide 3', 'ceramide 6 ii', 'ceramide 1', 'cholesterol', 'phytosphingosine', 'sodium hyaluronate', 'phenoxyethanol', 'dimethicon', 'methylparaben', 'edetate disodium', 'propylparaben', 'sodium lauroyl', 'carbomer', 'xanthan gum']","'Acne-prone', 'Enlarged pores'"
Clinique Moisture Surge 72 Hour Moisturiser 75ml,https://www.lookfantastic.com/clinique-moisture-surge-72-hour-moisturiser-75ml/12506978.html,Moisturiser,£37.00,['Bags under eyes'],Dry,"['dimethicon', 'butylene glycol', 'glycerin', 'trisiloxane', 'trehalose', 'sucrose', 'ammonium acryloyldimethyltaurate/vp', 'hydroxyethyl urea', 'camellia sinensis extract', 'silybum marianum extract', 'betula alba bark extract', 'saccharomyces lysate extract', 'aloe barbadenis extract', 'thermus thermophillus ferment', 'caffeinee', 'sorbitol', 'palmitoyl hexapeptide-12', 'sodium hyaluronate', 'caprylyl glycol', 'oleth-10', 'sodium polyaspartate', 'saccharide isomerate', 'hydrogenated lecithin', 'tocopheryl acetate', 'acrylates/c10-30 alkyl', 'glyceryl polymethacrylate', 'tromethamine', 'peg-8', 'hexylene glycol', 'magnesium ascorbyl phosphate', 'disodium edta', 'bht', 'phenoxyethanol', 'ci 14700', 'ci 19140']",'Bags under eyes'
First Aid Beauty Ultra Repair Cream (56.7g),https://www.lookfantastic.com/first-aid-beauty-ultra-repair-cream-56.7g/11054496.html,Moisturiser,£12.00,['Redness'],Dry,"['colloidal oatmeal', 'stearic acid', 'glycerin', 'c12-15', 'capric triglyceride', 'glyceryl stearate', 'glyceryl stearate se', 'cetearyl alcohol', 'caprylyl glycol', 'phenoxyethanol', 'butyrospermum parkii', 'squalene', 'allantoin', 'sodium hydroxide', 'dimethicon', 'xanthan gum', 'disodium edta', 'chrysanthemum parthenium (feverfew) extract', 'camellia sinensis extract', 'butylene glycol', 'glycyrrhiza glabra root extract', 'eucalyptus globulus', 'ceramide 3']",'Redness'
First Aid Beauty Ultra Repair Cream (170g),https://www.lookfantastic.com/first-aid-beauty-ultra-repair-cream-170g/11054488.html,Moisturiser,£25.00,['Redness'],Dry,"['colloidal oatmeal', 'stearic acid', 'glycerin', 'c12-15', 'capric triglyceride', 'glyceryl stearate', 'glyceryl stearate se', 'cetearyl alcohol', 'caprylyl glycol', 'phenoxyethanol', 'butyrospermum parkii', 'squalene', 'allantoin', 'sodium hydroxide', 'dimethicon', 'xanthan gum', 'disodium edta', 'chrysanthemum parthenium (feverfew) extract', 'camellia sinensis extract', 'butylene glycol', 'glycyrrhiza glabra root extract', 'eucalyptus globulus', 'ceramide 3']",'Redness'
